TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
denovo1411	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]	
denovo1412	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo1413	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	
denovo1414	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1415	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	nigrescens
denovo1416	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	subflava
denovo1417	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	
denovo1418	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1419	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	socranskii
denovo1420	Bacteria	Tenericutes	Mollicutes	RF39			
denovo1421	Unassigned						
denovo1422	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1423	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
denovo1424	Unassigned						
denovo1425	Bacteria	TM7	TM7-3				
denovo1426	Unassigned						
denovo1427	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1428	Unassigned						
denovo1429	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo1430	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	
denovo1431	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1432	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1433	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
denovo1434	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1435	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1436	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	
denovo1437	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
denovo1438	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo1439	Unassigned						
denovo1440	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera	
denovo1441	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae		
denovo1442	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	pallens
denovo1443	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	
denovo1444	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1445	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
denovo1446	Bacteria	TM7	TM7-3				
denovo1447	Unassigned						
denovo1448	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
denovo1449	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo1450	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
denovo1451	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1452	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae		
denovo1453	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1454	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
denovo1455	Unassigned						
denovo1456	Unassigned						
denovo1457	Unassigned						
denovo1458	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
denovo1459	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
denovo1460	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae		
denovo1461	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
denovo1462	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	
denovo1463	Unassigned						
denovo1464	Unassigned						
denovo1465	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	endodontalis
denovo1466	Unassigned						
denovo1467	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae		
denovo1468	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	segnis
denovo1469	Unassigned						
denovo1470	Unassigned						
denovo1471	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae		
denovo1472	Unassigned						
denovo1473	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1474	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1475	Unassigned						
denovo1476	Unassigned						
denovo1477	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar
denovo1478	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae		
denovo1479	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
denovo1480	Unassigned						
